0	4
19	1
10	5
8	90
19	100
25	1
6	1
43205	4
5	1
156	7
19	7
4	7
2801	7
1	4
0	4
0	4
20992	1
23027	1
23014	1
22216	1
13734	10
1	4
1	4
1	4
1	1
0	1
1	4
1	4
1	4
1	4
2	1
248	3
7160	5
3	4
49	16
911	8
3	4
23	1
11	7
18109	7
50	1
43286	1
43274	1
73	3
117	2
100	2
74	2
3614	1
3615	1
3615	1
3614	1
3381	1
3615	1
3617	1
3616	1
150	2
3631	1
82	2
2	4
8	2
478	1
122	1
16	1
426	1
59	16
21426	1
787	8
20878	1
20826	1
3433	8
3	4
380	1
73	1
72	1
70	1
72	1
72	1
72	1
124	1
124	1
123	1
125	1
122	1
122	1
121	1
178	1
2	1
85	1
3626	1
3624	1
3624	1
3623	1
3629	1
3624	1
3623	1
3623	1
3623	1
3427	8
56	1
3637	1
3637	1
3635	1
3610	1
3634	1
3627	1
3633	1
3634	1
3633	1
1818	1
18028	8
1546	7
1272	10
2	4
2476	10
3	4
3	4
23	7
1797	7
2772	12
38	10
3144	15
3149	20
2707	25
271	1
3626	1
3626	1
3618	1
3622	1
3620	1
3627	1
3620	1
3628	1
3619	1
3616	1
6254	29
5943	7
36	1
3633	1
3636	1
3630	1
3630	1
3629	1
3629	1
3629	1
3634	1
3629	1
3631	1
49	1
3624	1
3624	1
3635	1
3636	1
3624	1
3635	1
3633	1
3634	1
3622	1
2863	1
2786	29
4121	1
180	29
278	29
214	29
106	29
1375	29
71	42
1561	42
732	5
43267	1
400	7
679	10
576	15
1096	20
770	12
51	4
679	25
672	29
5827	5
5822	7
34573	1
99	3
1703	1
2208	1
4	1
3	1
4	1
3	1
5	1
3	1
3	1
851	1
853	1
854	1
854	1
853	1
852	1
853	1
667	1
391	1
391	1
378	1
386	1
411	1
382	1
411	1
411	1
378	1
372	1
375	1
373	1
377	1
377	1
381	1
369	1
370	1
374	1
374	1
376	1
911	5
1121	7
37	1
3622	1
34	1
954	1
948	1
955	1
947	1
953	1
945	1
944	1
947	1
958	1
951	1
949	1
950	1
949	1
948	1
944	1
950	1
944	1
942	1
940	1
34	1
1078	10
1667	12
131	1
3629	1
3631	1
3633	1
3638	1
3649	1
3640	1
3641	1
3639	1
3628	1
3637	1
3639	1
3630	1
3633	1
3636	1
3640	1
3630	1
3623	1
3637	1
3627	1
3584	1
803	15
